"[188.9, -34.6, -4.6, -179.76, -1.74, 1.22]"
"[173.9, -40.0, -9.1, -179.94, -0.43, 0.17]"
"[237.5, -24.9, -5.9, -179.97, -0.17, 0.61]"
"[215.4, -36.3, -11.2, -179.72, -1.91, -0.97]"
"[239.1, -44.4, -5.3, -179.77, -2.18, -1.41]"
"[181.5, -29.6, -10.6, -179.91, -0.43, 0.08]"
"[247.5, -52.8, -5.6, -179.99, -0.08, -1.14]"
"[237.7, -0.6, -10.1, -179.92, -1.7, 1.04]"
"[259.4, -36.9, -7.3, 179.82, -2.58, 0.0]"
"[200.8, -1.7, -6.4, -179.86, -1.97, 1.39]"
"[223.9, -71.4, -8.6, 179.85, -2.54, -0.78]"
"[188.4, -42.9, -9.2, -179.92, -1.58, 0.52]"
"[239.2, -54.6, -5.5, -179.98, -0.35, -0.7]"
"[260.5, -25.8, -4.4, -179.83, -1.21, 0.61]"
"[222.9, -53.5, -6.7, -179.89, -2.37, 0.08]"
"[248.9, -11.2, -6.8, -179.37, -2.56, 0.25]"
"[206.1, -2.0, -7.9, -179.48, -1.4, 0.52]"
"[241.1, -43.5, -5.6, -179.83, -0.86, -0.61]"
"[242.0, -31.0, -6.5, -179.63, -1.99, -0.09]"
"[254.6, -53.2, -4.1, -179.7, -2.88, -1.76]"
"[220.7, -54.5, -9.4, -179.71, -3.24, -1.23]"
"[217.0, -0.5, -12.1, -179.23, -1.79, 1.31]"
"[227.0, -58.0, -6.0, -179.74, -2.27, -0.7]"
"[251.5, -47.8, -8.0, -179.64, -2.0, 0.87]"
"[263.7, -29.9, -4.9, -179.5, -1.97, 0.78]"
"[185.8, -31.0, -8.1, -179.38, -2.03, 0.43]"
"[223.1, -35.1, -6.6, -179.7, -0.22, -0.7]"
"[182.8, -56.2, -9.4, -179.68, -1.21, -0.17]"
"[232.9, -44.0, -5.6, -179.62, -1.47, 0.52]"
"[202.8, -0.4, -4.7, -179.26, -1.52, 1.31]"
"[225.0, -69.3, -9.1, -179.69, -2.02, -0.17]"
"[206.6, -40.4, -7.8, -179.73, -0.76, -0.08]"
"[192.2, -2.0, -13.4, -178.34, -0.58, 0.88]"
"[188.5, -34.7, -12.6, -179.78, -1.12, -2.02]"
"[220.0, -49.8, -4.8, -179.99, -2.11, -1.32]"
"[234.2, 5.3, -7.0, -179.58, -2.07, 1.04]"
"[242.1, 2.5, -5.8, -179.44, -2.58, -0.19]"
"[239.1, -60.9, -7.8, 179.88, -2.81, -0.61]"
